text,label
Frozen on Facebook live lol #tonygoldwyn #scandal #fitzgeraldgrant #fitzgrant @ Sunset Gower…,3
Haha. Found this at the airport. I ️ u back #california #iloveyoucalifornia #sfo @ San Francisco…,0
With my love ones carimerca be.lin.da_anai @ City of Ontario,2
"Six flags with the loves (Jane, Adria, and Kierstin not pictured lmao) @ Six Flags Magic Mountain",2
Pour Up // OKAY REALLY THIS IS THE LAST ONE #DEAN #pourup #kpop #fancam @ The Mayan,1
girl's got the braids #privx901too @user artemeslashes @ 901 Too Salon,2
HAPPY FRIDAY!!!! #ultrarunner #skyrunner #gopro #tailwindnutrition #100k #100mile #stravarun…,0
Disneyland with @user yesterday was lit @ Disneyland,3
"Sunday Snaps with Da' Parker's #sundayfunday ️ @ San Diego, California",0
The entrance to The Hideaway is so awesome. Love all of these hidden gems in Riverside ️…,0
@user ah mash up the stage in #LA at the #Savoy @user there representing…,3
I'm never in FT anymore,1
Frosh Formal with my scoobert dooberts @ Stanford University,2
@ The Twilight Zone Tower of Terror,3
Another day in Tacoma. @ The North Slope Of Tacoma,2
"This is what I get for showing off get to the bottom, look back for shermander11 and fall…",1
#sewing #infinity #scarves today @user I went overboard &amp; made a #matching #sweater Come…,4
we were graced by an actual angel last night #gimmielove @ Grove of Anaheim,2
Just killed the stage with @user @user @ Cuban Pete's Mojito Lounge,3
️ #coju88 #delano #poolside #vacation @ Delano Beach Club Las Vegas,0
Sacre didn't suit up ? I didn't notice,1
"Hello 30's! My poor cousin tried to talk me out of this! She kept asking me, 'are you sure?'…",1
@user my bro out here trynna sing,1
Got some Berner tix on deck #willsellout @ Ace Of Spades,3
Missing these rooftop sessions in the sun #tbt #throwback #la @ L.P. Rooftop Bar,3
"""Merry Christmas from my family to yours"": cliché ass caption #BeMerry #SunsOutButItsColdAF @user",1
"Ok last one I promise. I realized I never posted any of us in it! #nanjer #club33 @ Club 33,…",2
@user already pre-ordered.,4
Last night was fun. ️ @ Santa Monica Pier,0
"When it's finals week, you double down on the cheese. #grilledcheese #sargento #onabudget…",4
@user shout out to you for being you!!!,2
PonyTail Flow #switchitupevery5mins #la #calilife #ridewitme #queen #keepgoing #shimmering…,4
#tbt Deliriously jet lagged at the Hollywood sign with these crazies at 7am #Hollywood #la…,4
I'm in a zone at Tommy Bahama runway show. #tommybahama #seattle #smgmodels @ Tommy Bahama…,1
I love making these!! ️ @ Happy Happy Hendricks,0
702 COME UP @ Brooklyn Bowl Las Vegas,3
on air with these kids for the KEXP spring pledge until 3pm! / 90.3 FM ️ @ KEXP,0
"My favorite face. #Disneyland60 #Disneyland @ ""it's a small world""",4
"And then he was like in the 80s there was no cellphones and then said ""you used to call me on my house phone""",1
"Love your family. They're the ones that will be there for you no matter what. @ Los Angeles,…",2
Home Sweet Home ️ @ Venice Beach Ocean Front Walk,0
Having fun disneyland #KingArthursCarrousel #DisneyFun #Disneyland @ King Arthur's Carrousel,4
No matter what people got to say. I'll always be down for this man. #boyfriend #datenight…,0
I simply ️ipictheaters #movies #sunday #afternoon #friends #girlsday #pasadena #coloradoblvd…,0
Beautiful Golden Gate from Lands End! ️ #awesomeness #nature #sanfrancisco @ Lands End,0
Comi con was incredible ️ @ Rose City Comic Con,0
This is so funny! At vocal lesson messing up but I made a joke of it #mistake #error #bad…,1
From downtown. @ The Basement Reno,4
28-1 #DubNation #Warriorswhiteout #nbaxmas @ Oracle Arena,3
Now that's a happy breakfast face! #naturelovers #breakfast #outside #outsideisfree #outdoors…,4
"Hammy's on ..where you at alexademaio4 ! @ Huntington Beach, California",3
Man in the Mirror #sunday #reflection #mirror #life #universe #journey #destiny #multiverse # ️…,0
WE GOT BIEBER FEVER @ Save Mart Center,3
"She ain't finished yet but I'm already loving this cute, sexy, little lady #tattoo #ink…",0
NASCAR across Oregon. Someone I ️ turns 1 tI day!! #zoomzoom #CAKE (@ City of Woodburn),0
Props to the Seniors &amp; Juniors for a good powder puff game Congrats to Juniors for winning it,4
Still in a turkey coma but this old episode brought some laughs and hurt my belly . Work it off…,1
New menu for the Just this weekend! Come out and try our delicious food! @ Crimsin San Pedro,3
"freaky freya and dirty d doin it big @ Chico, California",3
So much fire inside of me go check out my article on @user ! #motivationmonday #inspiration…,3
